properties{
  x = 128,
  y = 77,
  direction = 0,
}

destructible{
  layer = 0,
  x = 80,
  y = 101,
  treasure_name = "heart",
  treasure_savegame_variable = "linkhouse_vase1",
  sprite = "entities/vase",
  destruction_sound = "stone",
  weight = 1,
}

destructible{
  layer = 0,
  x = 80,
  y = 85,
  treasure_name = "heart",
  treasure_savegame_variable = "linkhouse_vase2",
  sprite = "entities/vase",
  destruction_sound = "stone",
  weight = 1,
}

destructible{
  layer = 0,
  x = 80,
  y = 69,
  treasure_name = "heart",
  treasure_savegame_variable = "linkhouse_vase3",
  sprite = "entities/vase",
  destruction_sound = "stone",
  weight = 1,
}

custom_entity{
  name = "settings:0-inside",
  layer = 0,
  x = 8,
  y = 13,
  width = 16,
  height = 16,
  direction = 0,
}

custom_entity{
  layer = 0,
  x = 152,
  y = 141,
  width = 32,
  height = 32,
  direction = 0,
  sprite = "entities/Stones/stone_light_large",
  model = "stone_large",
}

tile{
  layer = 1,
  x = 144,
  y = 200,
  width = 32,
  height = 8,
  pattern = "door_top.stairs.2",
}

tile{
  layer = 1,
  x = 96,
  y = 32,
  width = 16,
  height = 32,
  pattern = "wall_pillar.1",
}

tile{
  layer = 2,
  x = 0,
  y = 32,
  width = 48,
  height = 208,
  pattern = "ceiling",
}

tile{
  layer = 2,
  x = 272,
  y = 32,
  width = 48,
  height = 208,
  pattern = "ceiling",
}

tile{
  layer = 2,
  x = 48,
  y = 208,
  width = 224,
  height = 32,
  pattern = "ceiling",
}

